method,clear_map50,clear_map5095,blur_light_map50,blur_light_map5095,blur_medium_map50,blur_medium_map5095,blur_heavy_map50,blur_heavy_map5095
YOLOv8,0.821,0.642,0.807,0.618,0.782,0.548,0.714,0.468
Deblur-YOLO,0.899,0.689,0.876,0.641,0.821,0.582,0.756,0.516
A-Deblurring,0.906,0.686,0.866,0.662,0.804,0.561,0.731,0.484
FL-Deblurring,0.912,0.703,0.887,0.653,0.839,0.601,0.772,0.532
RT-DETR-R18,0.905,0.717,0.875,0.647,0.823,0.574,0.744,0.501
BE-FR YOLO,0.923,0.731,0.894,0.672,0.861,0.636,0.818,0.583
